Дата отчета,Тип объекта,Наименование объекта,Адрес,Всего датчиков,С установленным датчиком,Работает и передает в дашборд,Есть но не передают в дашборд,% работающих,Ответственный,Примечания
10.10.2025,Котельная,Котельная №1,ул. Ленина 45,12,12,10,2,83%,Петров П.П.,2 датчика на ремонте - плановая замена до 15.10
10.10.2025,Котельная,Котельная №2,пр. Мира 78,10,10,9,1,90%,Петров П.П.,Один датчик - проблема с GSM модулем
10.10.2025,Котельная,Котельная №5,ул. Садовая 12,8,8,8,0,100%,Иванов И.И.,Все датчики работают исправно
10.10.2025,ЦТП,ЦТП-1 (Центральный),ул. Победы 23,15,15,13,2,87%,Сидоров С.С.,2 датчика температуры обратной воды - замена запланирована
10.10.2025,ЦТП,ЦТП-3 (Северный),ул. Северная 5,15,15,15,0,100%,Сидоров С.С.,Все системы работают штатно
10.10.2025,ЦТП,ЦТП-7 (Южный),ул. Южная 89,12,11,9,2,82%,Кузнецова А.А.,1 датчик не установлен (в процессе монтажа). 2 требуют настройки
10.10.2025,Концевой дом,ЖД по ул. Ленина 12,ул. Ленина 12,6,6,5,1,83%,Николаев Н.Н.,Датчик давления - сбой ПО. Планируется обновление
10.10.2025,Концевой дом,ЖД по ул. Мира 45,пр. Мира 45,6,6,6,0,100%,Николаев Н.Н.,Все датчики в норме
10.10.2025,Концевой дом,ЖД по ул. Садовая 78,ул. Садовая 78,5,5,4,1,80%,Васильев В.В.,Датчик расхода - требуется калибровка
10.10.2025,Школа,СОШ №12,ул. Школьная 3,8,8,7,1,88%,Михайлов М.М.,1 датчик температуры внутри помещения - замена батареи
10.10.2025,Больница,Городская больница №1,ул. Больничная 15,20,20,18,2,90%,Андреева А.С.,2 датчика на профилактике - восстановление до 12.10
10.10.2025,Жилой дом,ЖК Солнечный корпус 1,мкр. Солнечный 1,10,10,9,1,90%,Орлова О.О.,Датчик ГВС - ремонт запланирован на 11.10
10.10.2025,Жилой дом,ЖК Центральный корпус 5,ул. Центральная 34,12,12,11,1,92%,Орлова О.О.,Незначительная потеря сигнала у 1 датчика - под наблюдением
ИТОГО:,,,139,138,124,14,90%,,Общая работоспособность системы хорошая
