№ блока,Блок задач,Подзадача,Ответственный,Статус,Приоритет,Срок,% выполнения,Дата начала,Дата завершения,Комментарии/Примечания
1,Разработка упрощённого личного кабинета для оператора ЖКХ,Отображение статусов датчиков: «в работе» «в ремонте» «не проверено»,,Не начато,Высокий,,,0%,,,
1,Разработка упрощённого личного кабинета для оператора ЖКХ,Визуализация данных в виде диаграмм или гистограмм для быстрого анализа,,Не начато,Высокий,,,0%,,,
1,Разработка упрощённого личного кабинета для оператора ЖКХ,Вывод данных только по датчикам вышедшим за нормативные значения,,Не начато,Высокий,,,0%,,,
1,Разработка упрощённого личного кабинета для оператора ЖКХ,Поддержка группировки датчиков по объектам (котельные ЦТП концевые дома),,Не начато,Средний,,,0%,,,
2,Интеграция данных с датчиков,Настройка автоматического сбора данных РОСТЕЛЕКОМ,,Не начато,Критический,,,0%,,,
2,Интеграция данных с датчиков,Настройка автоматического сбора данных МТС,,Не начато,Критический,,,0%,,,
2,Интеграция данных с датчиков,Настройка автоматического сбора данных МЕГАФОН,,Не начато,Критический,,,0%,,,
2,Интеграция данных с датчиков,Настройка автоматического сбора данных из самописных систем,,Не начато,Критический,,,0%,,,
2,Интеграция данных с датчиков,Унификация формата данных для отображения в системе,,Не начато,Высокий,,,0%,,,
2,Интеграция данных с датчиков,Обеспечение связи между датчиками и картой/дашбордом,,Не начато,Высокий,,,0%,,,
3,Реализация карты с визуализацией аварий и отключений,Отображение датчиков на карте с цветовой индикацией (красный — авария),,Не начато,Высокий,,,0%,,,
3,Реализация карты с визуализацией аварий и отключений,Фильтрация событий: плановые/неплановые отключения аварии,,Не начато,Средний,,,0%,,,
3,Реализация карты с визуализацией аварий и отключений,Привязка аварий к объектам (школы больницы жилые дома),,Не начато,Высокий,,,0%,,,
4,Доработка функционала рабочего места оператора,Добавление контактных данных ответственных лиц («телефон оператора»),,Не начато,Средний,,,0%,,,
4,Доработка функционала рабочего места оператора,Возможность быстрой связи с ответственными за датчики,,Не начато,Средний,,,0%,,,
4,Доработка функционала рабочего места оператора,Разделение параметров по каждому объекту для точного контроля,,Не начато,Средний,,,0%,,,
6,Приоритизация задач в рамках федерального проекта,Согласование сроков и объёмов работ с учётом федеральных приоритетов,,Не начато,Критический,,,0%,,,
6,Приоритизация задач в рамках федерального проекта,Увязка доработок с планами по переходу на новую систему (ЕДДС 2.0),,Не начато,Критический,,,0%,,,
7,Подготовка и согласование бизнес-требований,Формализация ТЗ по дашбордам,,Не начато,Высокий,,,0%,,,
7,Подготовка и согласование бизнес-требований,Формализация ТЗ по интеграциям,,Не начато,Высокий,,,0%,,,
7,Подготовка и согласование бизнес-требований,Формализация ТЗ по функционалу,,Не начато,Высокий,,,0%,,,
8,Интеграция с АИС ГЖИ,Извлечение данных: этажность,,Не начато,Средний,,,0%,,,
8,Интеграция с АИС ГЖИ,Извлечение данных: адреса ФИАС,,Не начато,Средний,,,0%,,,
8,Интеграция с АИС ГЖИ,Извлечение данных: количество жителей,,Не начато,Средний,,,0%,,,
9,Еженедельная отчетность по датчикам (четверг),Подсчет: Всего датчиков,,Не начато,Высокий,,,0%,,,
9,Еженедельная отчетность по датчикам (четверг),Подсчет: С установленным датчиком,,Не начато,Высокий,,,0%,,,
9,Еженедельная отчетность по датчикам (четверг),Подсчет: Работает и передает в дашборд,,Не начато,Высокий,,,0%,,,
9,Еженедельная отчетность по датчикам (четверг),Подсчет: Есть но не передают в дашборд,,Не начато,Высокий,,,0%,,,
